,PDIC Member Banks,Total Deposits (Millions PHP),Assessment Collected ( Million PHP)
1994,899,797965,1264.85
1995,913,1011761,1601.65
1996,936,1283200,2037.17
1997,979,1655215,2627
1998,990,1735669,3265
1999,971,1896132,3487
2000,939,2070939,3758
2001,926,2188150,4151
2002,909,2339538,4436
2003,897,2455634,4715
2004,891,2754533,5024
2005,879,2960440,5577
2006,862,3488099,6051
2007,847,3655252,7045
2008,818,4186608,7313.432
2009,785,4660722,8338.022
2010,758,5119186,9207
2011,726,5370960,10062
2012,696,5746298,10480
2013,673,7600254,11618
